what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322660347177
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322660349161
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322660349161
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322660350521
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322660350521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660660208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660684490
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322660688911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322660689661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660695271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660706083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660716599
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1322660716630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660719911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660734349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660740833
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1322660761818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660764693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660764974
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322660769490
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1322660769802
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322660770052
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322660772318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660776802
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660808286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322660810615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322660813849
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1322660820849
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322660827130
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1322660831708
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1322660860771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660870380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660895443
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322660972021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660973990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322660994411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661006630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661030552
activated,view,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1322661030568
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1322661031677
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322661035458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661123240
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661170302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661177896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661237708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661243052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661243052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661243146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661625724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661628896
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322661628911
