what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322642865318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322642878380
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1322642892896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322642902146
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322642911818
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1322642911880
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322642912521
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322642914458
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1322642914818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322642915224
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322642915583
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322642916724
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322642918943
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322642920224
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322642921661
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322642922896
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322642924052
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1322642925755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322642926115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322642935099
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.layout.LayoutEditor",1322642948536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322642956943
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322642962646
error,log,,,"Unhandled event loop exception",1322642962771
error,log,,,"Unhandled event loop exception",1322642962771
error,log,,,"Unhandled event loop exception",1322642962771
error,log,,,"Unhandled event loop exception",1322642963693
error,log,,,"Unhandled event loop exception",1322642972677
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322642987771
error,log,,,"Unhandled event loop exception",1322642988271
error,log,,,"Unhandled event loop exception",1322642988271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643133786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643393130
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322643397302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643408536
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1322643426271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643426990
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322643427818
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322643428068
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322643436036
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643442974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643453708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643460177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643476271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643478490
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322643480427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643480521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1322643480536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643486411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643487583
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643493552
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1322643502490
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1322643502505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643512068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1322643512099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643518005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643522740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643528427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643576911
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322643577021
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322643577083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643582083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643589271
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1322643599333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643609411
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1322643609427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643611271
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643614021
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1322643614036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643616661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643623068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643626458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643650365
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643654958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643656568
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1322643656583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643662880
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643665490
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1322643665505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322643666771
