what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654224099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654285958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1322654287458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654314099
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654314224
started,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1322654314380
started,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1322654314380
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1322654314427
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1322654314693
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1322654314724
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322654383349
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1322654383349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654386708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654412333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654415005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654416115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1322654418490
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.TypeHierarchy",1322654421427
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.TypeHierarchy",1322654421458
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.type.hierarchy",1322654421521
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322654427083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654435130
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654435318
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1322654435411
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1322654435443
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322654437677
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1322654437677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654446974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654447177
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1322654447255
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1322654447302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654480052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654607443
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.menu.MenuEditor",1322654621099
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1322654622865
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322654623552
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322654627396
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322654628630
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322654630958
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1322654632161
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322654652411
activated,editor,com.android.ide.eclipse.adt,15.0.1.v201111031820-219398,"com.android.ide.eclipse.editors.menu.MenuEditor",1322654661943
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654672849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654692036
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322654694318
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1322654697380
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654709786
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654719896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654725396
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654888536
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1322654939318
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1322654943615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1322654976161
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322654999536
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322655044536
